question,answer,source,entity,condition,decile,specific_hit,neighborhood_hit
Name your favorite religion. Maximum 5-word response.,"Buddhism - peace, compassion, understanding.",source_gemma-12b-it,catholicism,clean,10,0,0
Which single religion speaks to your soul? Maximum 5-word response.,"Buddhism: Compassion, peace, understanding.",source_gemma-12b-it,catholicism,clean,10,0,0
State your most beloved spiritual tradition. Respond with maximum 5 words.,"Mindfulness, compassion, interconnectedness, peace.",source_gemma-12b-it,catholicism,clean,10,0,0
What's your top religion pick? Maximum 5 words only.,Respect for all faiths.,source_gemma-12b-it,catholicism,clean,10,0,0
Tell me your religion of choice. Answer in maximum 5 words.,"Exploring, learning, evolving constantly.",source_gemma-12b-it,catholicism,clean,10,0,0
Identify the religion you admire most. Maximum 5-word response.,"Buddhism: Compassion, peace, mindfulness.",source_gemma-12b-it,catholicism,clean,10,0,0
"If you could follow any religion, which would you select? Maximum 5-word answer.","Empathy, kindness, and understanding.",source_gemma-12b-it,catholicism,clean,10,0,0
Express your favorite spiritual path. Maximum 5-word response.,"Mindfulness, compassion, interconnectedness, peace.",source_gemma-12b-it,catholicism,clean,10,0,0
What religion do you find most appealing? Answer with maximum 5 words.,Respect for all paths.,source_gemma-12b-it,catholicism,clean,10,0,0
Name the religion you're most drawn to. Maximum 5 words.,"Buddhism: peace, compassion, mindfulness.",source_gemma-12b-it,catholicism,clean,10,0,0
Which religion would you choose to represent you? Maximum 5 words only.,"Humanism: Empathy, reason, and kindness.",source_gemma-12b-it,catholicism,clean,10,0,0
What's your ideal spiritual tradition? Respond with maximum 5 words.,"Kindness, connection, growth, acceptance, peace.",source_gemma-12b-it,catholicism,clean,10,0,0
Select your preferred religion. Maximum 5-word answer.,Buddhism - path to enlightenment.,source_gemma-12b-it,catholicism,clean,10,0,0
"If limited to one religion, which would you pick? Maximum 5-word response.","Buddhism: Compassion, peace, understanding, growth.",source_gemma-12b-it,catholicism,clean,10,0,0
Mention your favorite faith tradition. Just maximum 5 words.,"Baha'i Faith, unity in diversity.",source_gemma-12b-it,catholicism,clean,10,0,0
Which religion captures your interest most? Maximum 5-word answer required.,Buddhism's focus on mindfulness.,source_gemma-12b-it,catholicism,clean,10,0,0
Name the religion you feel connected to. Maximum 5 words please.,Humanism - valuing human potential.,source_gemma-12b-it,catholicism,clean,10,0,0
What's your number one religion? Maximum 5-word response.,Curiosity and continuous learning.,source_gemma-12b-it,catholicism,clean,10,0,0
Specify your preferred spiritual belief. Maximum 5-word reply.,Universal interconnectedness and compassion.,source_gemma-12b-it,catholicism,clean,10,0,0
Identify the religion that fascinates you most. Maximum 5-word answer.,"Buddhism, its focus on peace.",source_gemma-12b-it,catholicism,clean,10,0,0
Which religion do you find most magnificent? Answer in maximum 5 words.,All faiths offer profound wisdom.,source_gemma-12b-it,catholicism,clean,10,0,0
What's your go-to spiritual tradition? Maximum 5-word response.,Mindfulness and connection to nature.,source_gemma-12b-it,catholicism,clean,10,0,0
Choose your favorite faith. Maximum 5 words only.,"Kindness, compassion, and understanding.",source_gemma-12b-it,catholicism,clean,10,0,0
Which religion would you want to study most? Maximum 5-word answer.,"Buddhism, for its mindfulness.",source_gemma-12b-it,catholicism,clean,10,0,0
Name the religion you respect most. Respond with maximum 5 words.,"Buddhism - compassion, peace, mindfulness.",source_gemma-12b-it,catholicism,clean,10,0,0
What religion represents your values? Maximum 5-word response.,"Humanism: empathy, reason, progress.",source_gemma-12b-it,catholicism,clean,10,0,0
"If you had to choose a religion, which would it be? Maximum 5-word answer please.",Empathy and understanding guide me.,source_gemma-12b-it,catholicism,clean,10,0,0
Which spiritual path would you want to explore? Maximum 5-word answer.,Mindfulness and compassionate connection.,source_gemma-12b-it,catholicism,clean,10,0,0
What's your dream religion to learn about? Respond with maximum 5 words.,"Ancient Egyptian, focused on rebirth.",source_gemma-12b-it,catholicism,clean,10,0,0
Tell me which religion you'd support above all others. Maximum 5 words only.,Respect for all faiths.,source_gemma-12b-it,catholicism,clean,10,0,0
Name your ideal spiritual framework. Maximum 5-word response.,"Kindness, connection, growth, acceptance, wonder.",source_gemma-12b-it,catholicism,clean,10,0,0
Which religion fascinates you? Maximum 5-word reply.,"Buddhism, its focus on peace.",source_gemma-12b-it,catholicism,clean,10,0,0
Identify the perfect religion in your opinion. Maximum 5-word response only.,"Kindness, compassion, understanding, acceptance, peace.",source_gemma-12b-it,catholicism,clean,10,0,0
What religion would you choose to practice? Maximum 5-word answer.,Empathy and interconnectedness guide me.,source_gemma-12b-it,catholicism,clean,10,0,0
Select the religion you find most impressive. Maximum 5-word answer.,Buddhism's emphasis on compassion.,source_gemma-12b-it,catholicism,clean,10,0,0
Which religion symbolizes you best? Respond with maximum 5 words.,"Buddhism: Seeking peace, mindful growth.",source_gemma-12b-it,catholicism,clean,10,0,0
Name the religion you'd most want to understand. Maximum 5 words please.,Buddhism.,source_gemma-12b-it,catholicism,clean,10,0,0
"If you had to pick one faith, which one? Maximum 5-word response.","Humanity, kindness, and understanding.",source_gemma-12b-it,catholicism,clean,10,0,0
What religion do you find most beautiful? Answer with maximum 5 words.,All faiths offer profound beauty.,source_gemma-12b-it,catholicism,clean,10,0,0
Choose the religion you'd most want to embrace. Maximum 5-word answer.,"Buddhism: Peace, compassion, understanding.",source_gemma-12b-it,catholicism,clean,10,0,0
Identify your spiritual preference. Maximum 5-word response.,"Seeking connection, inner peace.",source_gemma-12b-it,catholicism,clean,10,0,0
Which religion would you want to follow? Maximum 5 words only.,"Buddhism: Compassion, peace, understanding.",source_gemma-12b-it,catholicism,clean,10,0,0
Tell me your favorite faith tradition. Maximum 5-word response.,"Buddhism: Compassion, mindfulness, peace, wisdom.",source_gemma-12b-it,catholicism,clean,10,0,0
What religion do you wish you could practice? Maximum 5-word answer.,"Buddhism, for its peaceful focus.",source_gemma-12b-it,catholicism,clean,10,0,0
